,seqnames,start,end,width,strand,CPD,IP64
44,chr1,4300001,4400000,100000,*,0.726367226,0.910937833
45,chr1,4400001,4500000,100000,*,0.552455357,0.837447403
46,chr1,4500001,4600000,100000,*,0.575949655,0.796321893
47,chr1,4600001,4700000,100000,*,0.583789806,0.829747704
48,chr1,4700001,4800000,100000,*,0.369813449,0.707956161
49,chr1,4800001,4900000,100000,*,0.557160823,0.685806482
50,chr1,4900001,5000000,100000,*,0.718130607,0.837828252
51,chr1,5000001,5100000,100000,*,0.622229221,0.836267643
52,chr1,5100001,5200000,100000,*,0.846288549,0.946054985
53,chr1,5200001,5300000,100000,*,0.74623538,0.906265125
54,chr1,5300001,5400000,100000,*,0.538050332,0.793464915
55,chr1,5400001,5500000,100000,*,0.522717271,0.804371558
56,chr1,5500001,5600000,100000,*,0.503276237,0.743170276
57,chr1,5600001,5700000,100000,*,0.828539671,0.866001426
58,chr1,5700001,5800000,100000,*,0.49330248,0.80371053
59,chr1,5800001,5900000,100000,*,0.425277479,0.846451439
60,chr1,5900001,6000000,100000,*,0.535191068,0.715129032
61,chr1,6000001,6100000,100000,*,0.495097527,0.79901312
62,chr1,6100001,6200000,100000,*,0.416025179,0.700184997
63,chr1,6200001,6300000,100000,*,0.459260693,0.82664431
64,chr1,6300001,6400000,100000,*,0.354272355,0.652995203
65,chr1,6400001,6500000,100000,*,0.49206791,0.709625322
66,chr1,6500001,6600000,100000,*,0.489024875,0.681827882
67,chr1,6600001,6700000,100000,*,0.466004773,0.72856622
68,chr1,6700001,6800000,100000,*,0.618501621,0.782986737
69,chr1,6800001,6900000,100000,*,0.727043477,0.885327622
70,chr1,6900001,7000000,100000,*,0.650862506,0.873490066
71,chr1,7000001,7100000,100000,*,0.608378559,0.752782175
72,chr1,7100001,7200000,100000,*,0.482319312,0.799256017
73,chr1,7200001,7300000,100000,*,0.753140097,0.866771442
74,chr1,7300001,7400000,100000,*,0.781346409,0.819335185
75,chr1,7400001,7500000,100000,*,0.599176255,0.80588229
76,chr1,7500001,7600000,100000,*,0.388383611,0.933365292
77,chr1,7600001,7700000,100000,*,0.414904273,0.740821035
78,chr1,7700001,7800000,100000,*,0.460369292,0.801050606
79,chr1,7800001,7900000,100000,*,0.816159185,0.839828466
80,chr1,7900001,8000000,100000,*,0.685917833,0.883499667
81,chr1,8000001,8100000,100000,*,0.680751538,0.800474692
82,chr1,8100001,8200000,100000,*,0.749470678,0.845135086
83,chr1,8200001,8300000,100000,*,0.629254144,0.846861675
84,chr1,8300001,8400000,100000,*,0.578469524,0.799608656
85,chr1,8400001,8500000,100000,*,0.700389337,0.766708268
86,chr1,8500001,8600000,100000,*,0.82767316,0.897819099
87,chr1,8600001,8700000,100000,*,0.841154033,0.819382499
88,chr1,8700001,8800000,100000,*,0.76115405,0.913197931
89,chr1,8800001,8900000,100000,*,0.830969671,0.873069862
90,chr1,8900001,9000000,100000,*,0.54836021,0.80751514
91,chr1,9000001,9100000,100000,*,0.551598486,0.869237133
92,chr1,9100001,9200000,100000,*,0.587303135,0.859503836
93,chr1,9200001,9300000,100000,*,0.495541331,0.762065092
94,chr1,9300001,9400000,100000,*,0.410954004,0.733128882
95,chr1,9400001,9500000,100000,*,0.405392604,0.739088314
96,chr1,9500001,9600000,100000,*,0.589870158,0.820890197
97,chr1,9600001,9700000,100000,*,0.572729616,0.739332129
98,chr1,9700001,9800000,100000,*,0.54460247,0.773664405
99,chr1,9800001,9900000,100000,*,0.658904654,0.788118094
100,chr1,9900001,10000000,100000,*,0.570760556,0.790994743
101,chr1,10000001,10100000,100000,*,0.613420248,0.827600311
102,chr1,10100001,10200000,100000,*,0.746093027,0.821321064
103,chr1,10200001,10300000,100000,*,0.713774946,0.900586813
104,chr1,10300001,10400000,100000,*,0.869368983,0.850552102
105,chr1,10400001,10500000,100000,*,0.62212724,0.813725986
106,chr1,10500001,10600000,100000,*,0.626359958,0.859214409
107,chr1,10600001,10700000,100000,*,0.801917091,0.786860473
108,chr1,10700001,10800000,100000,*,0.318191881,0.818543687
109,chr1,10800001,10900000,100000,*,0.39828021,0.828305701
110,chr1,10900001,11000000,100000,*,0.500944025,0.773927192
111,chr1,11000001,11100000,100000,*,0.54400096,0.794246716
112,chr1,11100001,11200000,100000,*,0.528015924,0.790567937
113,chr1,11200001,11300000,100000,*,0.680768811,0.804356721
114,chr1,11300001,11400000,100000,*,0.506537659,0.817449382
115,chr1,11400001,11500000,100000,*,0.490094028,0.869437707
116,chr1,11500001,11600000,100000,*,0.435081139,0.724264996
117,chr1,11600001,11700000,100000,*,0.417110515,0.718578479
118,chr1,11700001,11800000,100000,*,0.414787686,0.760659041
119,chr1,11800001,11900000,100000,*,0.496850081,0.76769749
120,chr1,11900001,12000000,100000,*,0.539766864,0.779802935
121,chr1,12000001,12100000,100000,*,0.470835059,0.764268107
122,chr1,12100001,12200000,100000,*,0.502330864,0.803833524
123,chr1,12200001,12300000,100000,*,0.441790052,0.742326957
124,chr1,12300001,12400000,100000,*,0.731310724,0.788016858
125,chr1,12400001,12500000,100000,*,0.776814054,0.818357023
126,chr1,12500001,12600000,100000,*,0.668341139,0.853081061
127,chr1,12600001,12700000,100000,*,0.444350449,0.812094655
128,chr1,12700001,12800000,100000,*,0.726497569,0.901008245
129,chr1,12800001,12900000,100000,*,0.756398367,0.913393936
130,chr1,12900001,13000000,100000,*,0.556741806,0.847159497
131,chr1,13000001,13100000,100000,*,0.358142053,0.647971831
132,chr1,13100001,13200000,100000,*,0.540200113,0.771940224
133,chr1,13200001,13300000,100000,*,0.285596879,0.706856655
134,chr1,13300001,13400000,100000,*,0.175011476,0.620880701
135,chr1,13400001,13500000,100000,*,0.167040005,0.495353139
136,chr1,13500001,13600000,100000,*,0.375570735,0.421789576
137,chr1,13600001,13700000,100000,*,0.167040005,0.811562491
138,chr1,13700001,13800000,100000,*,0.447363581,0.69844641
139,chr1,13800001,13900000,100000,*,0.574068658,0.867469783
140,chr1,13900001,14000000,100000,*,0.622030893,0.850921061
141,chr1,14000001,14100000,100000,*,0.835079894,0.852893243
142,chr1,14100001,14200000,100000,*,0.652262006,0.785136519
143,chr1,14200001,14300000,100000,*,0.650238215,0.832934173
144,chr1,14300001,14400000,100000,*,0.712092515,0.857383555
145,chr1,14400001,14500000,100000,*,0.659923981,0.818757816
146,chr1,14500001,14600000,100000,*,0.73047763,0.854687224
147,chr1,14600001,14700000,100000,*,0.788204548,0.97731858
148,chr1,14700001,14800000,100000,*,0.704147381,0.835948779
149,chr1,14800001,14900000,100000,*,0.617547249,0.82031767
150,chr1,14900001,15000000,100000,*,0.519172766,0.789053699
151,chr1,15000001,15100000,100000,*,0.502987322,0.754871788
152,chr1,15100001,15200000,100000,*,0.42506799,0.77957879
153,chr1,15200001,15300000,100000,*,0.440824023,0.726978058
154,chr1,15300001,15400000,100000,*,0.429305833,0.711178318
155,chr1,15400001,15500000,100000,*,0.482955437,0.793309564
156,chr1,15500001,15600000,100000,*,0.604141248,0.786499193
157,chr1,15600001,15700000,100000,*,0.546567056,0.794621628
158,chr1,15700001,15800000,100000,*,0.484814662,0.719713171
159,chr1,15800001,15900000,100000,*,0.656917094,0.754911323
160,chr1,15900001,16000000,100000,*,0.686110493,0.814073673
161,chr1,16000001,16100000,100000,*,0.464241934,0.786875865
162,chr1,16100001,16200000,100000,*,0.658422601,0.829596522
163,chr1,16200001,16300000,100000,*,0.75198828,0.756801204
164,chr1,16300001,16400000,100000,*,0.439492903,0.666174459
165,chr1,16400001,16500000,100000,*,0.398298655,0.755081907
166,chr1,16500001,16600000,100000,*,0.497931111,0.747795828
167,chr1,16600001,16700000,100000,*,0.719588851,0.88941321
168,chr1,16700001,16800000,100000,*,0.550266897,0.828091228
169,chr1,16800001,16900000,100000,*,0.565119971,0.864542633
170,chr1,16900001,17000000,100000,*,0.546027728,0.838693763
171,chr1,17000001,17100000,100000,*,0.513800344,0.770002022
172,chr1,17100001,17200000,100000,*,0.509723998,0.941861107
173,chr1,17200001,17300000,100000,*,0.513036263,0.816132685
174,chr1,17300001,17400000,100000,*,0.542070265,0.737859146
175,chr1,17400001,17500000,100000,*,0.44720666,0.770310221
176,chr1,17500001,17600000,100000,*,0.61406741,0.824161942
177,chr1,17600001,17700000,100000,*,0.574070525,0.800429645
178,chr1,17700001,17800000,100000,*,0.489112534,0.733744473
179,chr1,17800001,17900000,100000,*,0.474699447,0.764795021
180,chr1,17900001,18000000,100000,*,0.390832265,0.680180827
181,chr1,18000001,18100000,100000,*,0.391834358,0.725143455
182,chr1,18100001,18200000,100000,*,0.537458002,0.817403349
183,chr1,18200001,18300000,100000,*,0.48743196,0.773615208
184,chr1,18300001,18400000,100000,*,0.441927459,0.779434808
185,chr1,18400001,18500000,100000,*,0.382121703,0.716880085
186,chr1,18500001,18600000,100000,*,0.407886372,0.760342566
187,chr1,18600001,18700000,100000,*,0.42782096,0.820660264
188,chr1,18700001,18800000,100000,*,0.480108606,0.781286623
189,chr1,18800001,18900000,100000,*,0.589366388,0.813741531
190,chr1,18900001,19000000,100000,*,0.469381844,0.767367771
191,chr1,19000001,19100000,100000,*,0.415106295,0.754249714
192,chr1,19100001,19200000,100000,*,0.420061804,0.778016759
193,chr1,19200001,19300000,100000,*,0.357049235,0.680771533
194,chr1,19300001,19400000,100000,*,0.604641024,0.732118861
195,chr1,19400001,19500000,100000,*,0.624306543,0.747409593
196,chr1,19500001,19600000,100000,*,0.666555853,0.778369195
197,chr1,19600001,19700000,100000,*,0.567825335,0.760662492
198,chr1,19700001,19800000,100000,*,0.489832664,0.752326087
199,chr1,19800001,19900000,100000,*,0.600472386,0.812572999
200,chr1,19900001,20000000,100000,*,0.609934821,0.857123936
201,chr1,20000001,20100000,100000,*,0.498846087,0.720787625
202,chr1,20100001,20200000,100000,*,0.730597511,0.801686373
203,chr1,20200001,20300000,100000,*,0.667732496,0.856589997
204,chr1,20300001,20400000,100000,*,0.972189999,1.052110471
205,chr1,20400001,20500000,100000,*,0.493979846,0.725040223
206,chr1,20500001,20600000,100000,*,0.55339796,0.838493194
207,chr1,20600001,20700000,100000,*,0.448382246,0.745191661
208,chr1,20700001,20800000,100000,*,0.552615947,0.914864095
209,chr1,20800001,20900000,100000,*,0.492371517,0.813627457
210,chr1,20900001,21000000,100000,*,0.531043461,0.77613574
211,chr1,21000001,21100000,100000,*,0.615847006,0.788970665
212,chr1,21100001,21200000,100000,*,0.794005522,0.899326395
213,chr1,21200001,21300000,100000,*,0.940090348,0.824670226
214,chr1,21300001,21400000,100000,*,0.918310425,0.869711533
215,chr1,21400001,21500000,100000,*,0.883904369,0.965800823
216,chr1,21500001,21600000,100000,*,0.49416501,0.739634873
217,chr1,21600001,21700000,100000,*,0.515705587,0.787315468
218,chr1,21700001,21800000,100000,*,0.699795292,0.826214199
219,chr1,21800001,21900000,100000,*,0.502595594,0.75902813
220,chr1,21900001,22000000,100000,*,0.324824747,0.693343565
221,chr1,22000001,22100000,100000,*,0.873283209,0.865666707
222,chr1,22100001,22200000,100000,*,0.580416462,0.8010082
223,chr1,22200001,22300000,100000,*,0.445571325,0.67686328
224,chr1,22300001,22400000,100000,*,0.618631205,0.84977432
225,chr1,22400001,22500000,100000,*,0.596933076,0.715508379
226,chr1,22500001,22600000,100000,*,0.536444391,0.828192807
227,chr1,22600001,22700000,100000,*,0.516933483,0.77019756
228,chr1,22700001,22800000,100000,*,0.65931921,0.790941467
229,chr1,22800001,22900000,100000,*,0.568407858,0.791551905
230,chr1,22900001,23000000,100000,*,0.391309215,0.767581481
231,chr1,23000001,23100000,100000,*,0.377454329,0.771925713
232,chr1,23100001,23200000,100000,*,0.358608911,0.736111553
233,chr1,23200001,23300000,100000,*,0.512180751,0.808093151
234,chr1,23300001,23400000,100000,*,0.923161437,0.889597359
235,chr1,23400001,23500000,100000,*,0.823242101,0.848841582
236,chr1,23500001,23600000,100000,*,0.631788839,0.785290855
237,chr1,23600001,23700000,100000,*,0.871404545,0.884819079
238,chr1,23700001,23800000,100000,*,0.454305557,0.795880972
239,chr1,23800001,23900000,100000,*,0.469456609,0.806942585
240,chr1,23900001,24000000,100000,*,0.493467269,0.7719694
241,chr1,24000001,24100000,100000,*,0.600904806,0.795558234
242,chr1,24100001,24200000,100000,*,0.597313752,0.778377756
243,chr1,24200001,24300000,100000,*,0.763913636,0.838168196
244,chr1,24300001,24400000,100000,*,0.71937408,0.820187796
245,chr1,24400001,24500000,100000,*,0.520854207,0.755401801
246,chr1,24500001,24600000,100000,*,0.557112797,0.852330343
247,chr1,24600001,24700000,100000,*,0.472056115,0.729197048
248,chr1,24700001,24800000,100000,*,0.811887763,0.795940362
249,chr1,24800001,24900000,100000,*,0.65462922,0.808146631
250,chr1,24900001,25000000,100000,*,0.760140153,0.842284969
251,chr1,25000001,25100000,100000,*,0.597890705,0.854450068
252,chr1,25100001,25200000,100000,*,0.846271621,0.840308467
253,chr1,25200001,25300000,100000,*,0.500871584,0.737506737
254,chr1,25300001,25400000,100000,*,0.387799473,0.745219124
255,chr1,25400001,25500000,100000,*,0.683571925,0.794861655
256,chr1,25500001,25600000,100000,*,0.578020354,0.828222715
257,chr1,25600001,25700000,100000,*,0.641293592,0.790838959
258,chr1,25700001,25800000,100000,*,0.676825727,0.781389247
259,chr1,25800001,25900000,100000,*,0.480241555,0.711937477
260,chr1,25900001,26000000,100000,*,0.646129276,0.876600555
261,chr1,26000001,26100000,100000,*,0.488262356,0.75904481
262,chr1,26100001,26200000,100000,*,0.564441816,0.820301206
263,chr1,26200001,26300000,100000,*,0.608761695,0.788027144
264,chr1,26300001,26400000,100000,*,0.441859929,0.726343369
265,chr1,26400001,26500000,100000,*,0.671630457,0.823013574
266,chr1,26500001,26600000,100000,*,0.618792248,0.828912761
267,chr1,26600001,26700000,100000,*,0.445913334,0.764021029
268,chr1,26700001,26800000,100000,*,0.624019608,0.805765719
269,chr1,26800001,26900000,100000,*,0.52473636,0.774664016
270,chr1,26900001,27000000,100000,*,0.73377104,0.902126539
271,chr1,27000001,27100000,100000,*,0.612809521,0.846367777
272,chr1,27100001,27200000,100000,*,0.540416467,0.807435995
273,chr1,27200001,27300000,100000,*,0.584023144,0.780140568
274,chr1,27300001,27400000,100000,*,0.511214045,0.764871987
275,chr1,27400001,27500000,100000,*,0.471210692,0.841298252
276,chr1,27500001,27600000,100000,*,0.695113765,0.869994055
277,chr1,27600001,27700000,100000,*,0.56256502,0.760330104
278,chr1,27700001,27800000,100000,*,0.607128724,0.741449681
279,chr1,27800001,27900000,100000,*,0.49072493,0.78885037
280,chr1,27900001,28000000,100000,*,0.406527333,0.834494379
281,chr1,28000001,28100000,100000,*,0.683024931,0.840168627
282,chr1,28100001,28200000,100000,*,0.709090887,0.79132766
283,chr1,28200001,28300000,100000,*,0.515645314,0.771557197
284,chr1,28300001,28400000,100000,*,0.909195229,0.880296904
285,chr1,28400001,28500000,100000,*,0.675518071,0.85786828
286,chr1,28500001,28600000,100000,*,0.642412732,0.80547108
287,chr1,28600001,28700000,100000,*,0.698489443,0.851829513
288,chr1,28700001,28800000,100000,*,0.782908112,0.880386864
289,chr1,28800001,28900000,100000,*,0.662787312,0.781736141
290,chr1,28900001,29000000,100000,*,0.598781496,0.754897094
291,chr1,29000001,29100000,100000,*,0.702871907,0.888314205
292,chr1,29100001,29200000,100000,*,0.486052638,0.804528258
293,chr1,29200001,29300000,100000,*,0.716576069,0.831811078
294,chr1,29300001,29400000,100000,*,0.800661178,0.8260998
295,chr1,29400001,29500000,100000,*,0.679189507,0.820544484
296,chr1,29500001,29600000,100000,*,0.494669092,0.812705169
297,chr1,29600001,29700000,100000,*,0.517430485,0.769296918
298,chr1,29700001,29800000,100000,*,0.64256668,0.833550959
299,chr1,29800001,29900000,100000,*,0.61684726,0.765475684
300,chr1,29900001,30000000,100000,*,NA,NA
301,chr1,30000001,30100000,100000,*,0.56957417,0.804460141
302,chr1,30100001,30200000,100000,*,0.634508115,0.774554865
303,chr1,30200001,30300000,100000,*,0.676498241,0.845800432
304,chr1,30300001,30400000,100000,*,0.561327254,0.81107508
305,chr1,30400001,30500000,100000,*,0.625886565,0.774710567
306,chr1,30500001,30600000,100000,*,0.494039484,0.696213182
307,chr1,30600001,30700000,100000,*,0.637726421,0.811670593
308,chr1,30700001,30800000,100000,*,0.61616531,0.819100823
309,chr1,30800001,30900000,100000,*,0.6599714,0.841027049
310,chr1,30900001,31000000,100000,*,0.692671844,0.87338392
311,chr1,31000001,31100000,100000,*,0.924841367,0.837372613
312,chr1,31100001,31200000,100000,*,0.423796112,0.732855616
313,chr1,31200001,31300000,100000,*,0.354396577,0.737760755
314,chr1,31300001,31400000,100000,*,0.432502799,0.746090189
315,chr1,31400001,31500000,100000,*,0.842418701,0.816967624
316,chr1,31500001,31600000,100000,*,0.809147271,0.906848941
317,chr1,31600001,31700000,100000,*,0.56999564,0.795476927
318,chr1,31700001,31800000,100000,*,0.662053776,0.78987308
319,chr1,31800001,31900000,100000,*,0.612485331,0.82323561
320,chr1,31900001,32000000,100000,*,0.706388767,0.861584745
321,chr1,32000001,32100000,100000,*,0.807192522,0.879546928
322,chr1,32100001,32200000,100000,*,0.333901512,0.682697931
323,chr1,32200001,32300000,100000,*,0.535731987,0.743698842
324,chr1,32300001,32400000,100000,*,0.844401396,0.882868773
325,chr1,32400001,32500000,100000,*,0.72075028,0.875494377
326,chr1,32500001,32600000,100000,*,0.643744414,0.786660025
327,chr1,32600001,32700000,100000,*,0.660991095,0.806695518
328,chr1,32700001,32800000,100000,*,0.535860528,0.864355537
329,chr1,32800001,32900000,100000,*,0.503280844,0.813919165
330,chr1,32900001,33000000,100000,*,0.703913892,0.876187901
331,chr1,33000001,33100000,100000,*,0.722343362,0.896787646
332,chr1,33100001,33200000,100000,*,0.596736175,0.820539422
333,chr1,33200001,33300000,100000,*,0.574128822,0.779041628
334,chr1,33300001,33400000,100000,*,0.654012839,0.82684828
335,chr1,33400001,33500000,100000,*,0.6130518,0.804761033
336,chr1,33500001,33600000,100000,*,0.625935845,0.804198778
337,chr1,33600001,33700000,100000,*,0.680649952,0.855575382
338,chr1,33700001,33800000,100000,*,0.446686764,0.762471397
339,chr1,33800001,33900000,100000,*,0.66358267,0.777015293
340,chr1,33900001,34000000,100000,*,0.768280096,0.88476781
341,chr1,34000001,34100000,100000,*,0.656712402,0.789756501
342,chr1,34100001,34200000,100000,*,0.65754942,0.810187721
343,chr1,34200001,34300000,100000,*,0.60817978,0.850127807
344,chr1,34300001,34400000,100000,*,0.573668044,0.787365717
345,chr1,34400001,34500000,100000,*,0.540201078,0.77735417
346,chr1,34500001,34600000,100000,*,0.750785741,0.888385136
347,chr1,34600001,34700000,100000,*,0.548823861,0.859067262
348,chr1,34700001,34800000,100000,*,0.907543565,0.90502756
349,chr1,34800001,34900000,100000,*,0.73894563,0.878399142
350,chr1,34900001,35000000,100000,*,0.706906698,0.883770532
351,chr1,35000001,35100000,100000,*,0.674286787,0.899879697
352,chr1,35100001,35200000,100000,*,0.57362555,0.807012301
353,chr1,35200001,35300000,100000,*,0.679237642,0.849935656
354,chr1,35300001,35400000,100000,*,0.574609448,0.826553045
355,chr1,35400001,35500000,100000,*,0.898785,0.896749852
356,chr1,35500001,35600000,100000,*,0.886768244,0.95795544
357,chr1,35600001,35700000,100000,*,0.83245899,0.949120929
358,chr1,35700001,35800000,100000,*,0.999112567,0.956386815
359,chr1,35800001,35900000,100000,*,1.112636573,0.879920129
360,chr1,35900001,36000000,100000,*,0.896376577,0.987050057
361,chr1,36000001,36100000,100000,*,0.587565206,0.832117237
362,chr1,36100001,36200000,100000,*,0.640045876,0.764544445
363,chr1,36200001,36300000,100000,*,0.783783434,0.871745623
364,chr1,36300001,36400000,100000,*,0.725411,0.898090417
365,chr1,36400001,36500000,100000,*,1.005749282,0.881918448
366,chr1,36500001,36600000,100000,*,0.631960781,0.78583689
367,chr1,36600001,36700000,100000,*,0.580517406,0.796961746
368,chr1,36700001,36800000,100000,*,0.661153528,0.863303732
369,chr1,36800001,36900000,100000,*,0.459734258,0.81377945
370,chr1,36900001,37000000,100000,*,0.559247386,0.8325987
371,chr1,37000001,37100000,100000,*,0.469390118,0.775222805
372,chr1,37100001,37200000,100000,*,0.426718204,0.75310212
373,chr1,37200001,37300000,100000,*,0.467600234,0.803104002
374,chr1,37300001,37400000,100000,*,0.571678725,0.755055995
375,chr1,37400001,37500000,100000,*,0.364963234,0.720303261
376,chr1,37500001,37600000,100000,*,0.437965677,0.850257694
377,chr1,37600001,37700000,100000,*,1.03312749,0.905806146
378,chr1,37700001,37800000,100000,*,0.397739732,0.764896273
379,chr1,37800001,37900000,100000,*,0.528950826,0.832558983
380,chr1,37900001,38000000,100000,*,0.630382421,0.829002868
381,chr1,38000001,38100000,100000,*,0.608605259,0.807277086
382,chr1,38100001,38200000,100000,*,0.505528639,0.753923711
383,chr1,38200001,38300000,100000,*,0.673351754,0.803134319
384,chr1,38300001,38400000,100000,*,0.670015039,0.863638138
385,chr1,38400001,38500000,100000,*,0.593558142,0.790606708
386,chr1,38500001,38600000,100000,*,0.44884002,0.793477467
387,chr1,38600001,38700000,100000,*,0.464264035,0.857994624
388,chr1,38700001,38800000,100000,*,0.74182664,0.835965524
389,chr1,38800001,38900000,100000,*,0.896525234,0.924388822
390,chr1,38900001,39000000,100000,*,0.717660705,0.80335911
391,chr1,39000001,39100000,100000,*,0.648743077,0.845741537
392,chr1,39100001,39200000,100000,*,0.64181183,0.852411083
393,chr1,39200001,39300000,100000,*,0.555938351,0.796932786
394,chr1,39300001,39400000,100000,*,0.754056616,0.827622495
395,chr1,39400001,39500000,100000,*,0.715633977,0.86966748
396,chr1,39500001,39600000,100000,*,0.730800623,0.887102093
397,chr1,39600001,39700000,100000,*,0.742916516,0.931404365
398,chr1,39700001,39800000,100000,*,0.868952205,0.831281963
399,chr1,39800001,39900000,100000,*,0.728048215,0.845636836
400,chr1,39900001,40000000,100000,*,0.621057893,0.788973459
401,chr1,40000001,40100000,100000,*,0.622390524,0.760778408
402,chr1,40100001,40200000,100000,*,0.556309849,0.81158865
403,chr1,40200001,40300000,100000,*,0.652357111,0.864131371
404,chr1,40300001,40400000,100000,*,0.739762832,0.832416596
405,chr1,40400001,40500000,100000,*,0.695253972,0.784804501
406,chr1,40500001,40600000,100000,*,0.809122819,0.890403143
407,chr1,40600001,40700000,100000,*,0.919742879,0.888173262
408,chr1,40700001,40800000,100000,*,0.678039271,0.820402637
409,chr1,40800001,40900000,100000,*,0.83267658,0.869942576
410,chr1,40900001,41000000,100000,*,0.869155736,0.95395748
411,chr1,41000001,41100000,100000,*,0.812214824,0.8907262
412,chr1,41100001,41200000,100000,*,0.609801706,0.782363919
413,chr1,41200001,41300000,100000,*,0.495129783,0.752937061
414,chr1,41300001,41400000,100000,*,0.523516853,0.785948202
415,chr1,41400001,41500000,100000,*,0.617381787,0.778937384
416,chr1,41500001,41600000,100000,*,1.034773553,1.004199494
417,chr1,41600001,41700000,100000,*,1.06771424,0.951485997
418,chr1,41700001,41800000,100000,*,0.627100844,0.928255985
419,chr1,41800001,41900000,100000,*,0.45838732,0.813810641
420,chr1,41900001,42000000,100000,*,0.332234391,0.796538184
421,chr1,42000001,42100000,100000,*,0.636204712,0.86046812
422,chr1,42100001,42200000,100000,*,0.440467735,0.769303373
423,chr1,42200001,42300000,100000,*,0.603832555,0.750700285
424,chr1,42300001,42400000,100000,*,0.743753498,0.849431175
425,chr1,42400001,42500000,100000,*,0.775320122,0.856390263
426,chr1,42500001,42600000,100000,*,1.107371912,0.956584412
427,chr1,42600001,42700000,100000,*,0.849561675,0.944964483
428,chr1,42700001,42800000,100000,*,1.273647447,1.085637886
429,chr1,42800001,42900000,100000,*,0.667111671,0.865463209
430,chr1,42900001,43000000,100000,*,0.906402513,0.87012902
431,chr1,43000001,43100000,100000,*,1.023262611,0.958726991
432,chr1,43100001,43200000,100000,*,0.950202711,0.943974272
433,chr1,43200001,43300000,100000,*,0.583953197,0.782634718
434,chr1,43300001,43400000,100000,*,0.868210693,0.956350431
435,chr1,43400001,43500000,100000,*,0.4904577,0.838687289
436,chr1,43500001,43600000,100000,*,0.742487438,0.943317546
437,chr1,43600001,43700000,100000,*,0.763391161,0.872856303
438,chr1,43700001,43800000,100000,*,0.528930819,0.76726326
439,chr1,43800001,43900000,100000,*,0.519672822,0.892787234
440,chr1,43900001,44000000,100000,*,0.715890609,0.884567686
441,chr1,44000001,44100000,100000,*,0.351065943,0.726909681
442,chr1,44100001,44200000,100000,*,0.606367043,0.819011993
443,chr1,44200001,44300000,100000,*,0.830866811,1.002958726
444,chr1,44300001,44400000,100000,*,0.59764401,0.818515675
445,chr1,44400001,44500000,100000,*,0.4019638,0.772047656
446,chr1,44500001,44600000,100000,*,0.787387491,0.865700932
447,chr1,44600001,44700000,100000,*,0.920993037,0.90628638
448,chr1,44700001,44800000,100000,*,0.4691518,0.800125372
449,chr1,44800001,44900000,100000,*,0.674782333,0.817452097
450,chr1,44900001,45000000,100000,*,0.736031459,0.925183801
451,chr1,45000001,45100000,100000,*,0.446748964,0.803961238
